negotiation_id,domain,transcript,stakeholders,conflict_type,framework,label_position,leverage_signal,concession_signal,emotion_signal,key_principles,likely_concerns,framework_interpretation,recommended_negotiation_move,compromise_path,negotiation_risk,research_basis
NEG-002,employment,"Tenant: A 14% rent increase with only one month's notice is difficult for me to absorb.
Landlord: Maintenance costs and property taxes have increased significantly.
Tenant: I have paid on time for three years and handled minor repairs myself.
Property Manager: We can discuss a phased increase if you renew for another year.
Tenant: I could accept a smaller increase now with a scheduled review in six months.
Context note: This is scenario variation 2, with different urgency, leverage, and relationship stakes.",Tenant; landlord; property manager,rent increase dispute,Stakeholder & Systems Framework,conditional_support,"Indirect stakeholders, institutional constraints, reputational effects, and downstream costs affect leverage.","A useful concession reduces pressure across the broader system, not just between the two main parties.",Complex and multi-sided; parties may feel constrained by people not present in the room.,stakeholder analysis; systems thinking; externalities; long-term consequences,"How the agreement affects absent stakeholders, future cases, precedent, resources, and institutional trust.","In this employment negotiation, the systems lens examines how the immediate dispute connects to broader incentives, externalities, and stakeholder consequences.","Map affected stakeholders, identify second-order consequences, and design a solution that avoids harmful precedent.","Pilot a limited agreement with review points, safeguards, and feedback from affected stakeholders.","Solving the immediate dispute may create hidden costs, precedent effects, or stakeholder backlash.","Inspired by stakeholder theory, systems thinking, externality analysis, and long-term governance design."
NEG-002,employment,"Tenant: A 14% rent increase with only one month's notice is difficult for me to absorb.
Landlord: Maintenance costs and property taxes have increased significantly.
Tenant: I have paid on time for three years and handled minor repairs myself.
Property Manager: We can discuss a phased increase if you renew for another year.
Tenant: I could accept a smaller increase now with a scheduled review in six months.
Context note: This is scenario variation 2, with different urgency, leverage, and relationship stakes.",Tenant; landlord; property manager,rent increase dispute,Cultural & Social Framework,needs_more_info,"Status, social expectations, communication norms, hierarchy, and relationship obligations affect leverage.","A culturally aware concession protects dignity, face, relationship continuity, and communication preferences.","Sensitive to tone, respect, identity, and perceived recognition.",cultural norms; communication styles; collectivism; individualism; hierarchy; social expectations,"Whether the negotiation style respects norms around authority, directness, face-saving, and relationship obligations.","In this employment negotiation, the cultural lens considers whether conflict is shaped by social expectations, hierarchy, communication style, or differing assumptions about respect.","Adjust communication style, preserve face, clarify expectations, and invite context before finalizing terms.","Use respectful language, private discussion, and a compromise that preserves both relationship and practical needs.",A technically reasonable offer may fail if it violates social norms or is perceived as disrespectful.,"Inspired by cross-cultural negotiation, communication theory, social norms, and hierarchy-sensitive bargaining."
NEG-003,healthcare,"Patient: My doctor said this procedure was medically necessary, but the claim was denied.
Insurance Rep: The plan requires prior authorization, which was not completed.
Clinic: We submitted clinical notes but may have missed one form.
Patient: I cannot afford the full bill and should not be penalized for a paperwork issue.
Insurance Rep: If the clinic resubmits with documentation, we can reopen the review.
Context note: This is scenario variation 3, with different urgency, leverage, and relationship stakes.",Patient; insurance representative; clinic billing office,coverage dispute,Legal & Rights Framework,conditional_support,"Contract terms, documented obligations, regulatory duties, or procedural protections may affect bargaining power.","A legally safer concession would clarify terms, timelines, responsibilities, and written approval.",Concerned but formal; the parties appear focused on legitimacy and enforceability.,rights-based reasoning; due process; contracts; procedural fairness; liability,"Whether one party is being denied a promised benefit, exposed to liability, or pressured without fair process.","In this healthcare negotiation, the legal lens asks whether each party's claims are grounded in enforceable rights, documented commitments, notice requirements, or procedural fairness.","Request written terms, clarify obligations, document concessions, and propose a compliant resolution.",Create a written agreement that preserves rights while allowing a limited concession or phased adjustment.,"Ambiguous terms could create future disputes, compliance exposure, or claims of unfair treatment.","Inspired by rights-based negotiation, procedural justice, contract theory, and liability analysis."
NEG-003,healthcare,"Patient: My doctor said this procedure was medically necessary, but the claim was denied.
Insurance Rep: The plan requires prior authorization, which was not completed.
Clinic: We submitted clinical notes but may have missed one form.
Patient: I cannot afford the full bill and should not be penalized for a paperwork issue.
Insurance Rep: If the clinic resubmits with documentation, we can reopen the review.
Context note: This is scenario variation 3, with different urgency, leverage, and relationship stakes.",Patient; insurance representative; clinic billing office,coverage dispute,Strategic & Economic Framework,support,"BATNA, budget pressure, alternative offers, switching costs, and timing constraints shape leverage.","A concession is most valuable when traded for duration, volume, loyalty, speed, or reduced uncertainty.",Pragmatic and outcome-oriented; emotions are secondary to incentives.,BATNA; leverage; incentives; game theory; long-term value creation,Whether the deal improves each party's alternatives and creates enough value to justify compromise.,"In this healthcare negotiation, the strategic lens evaluates bargaining power, fallback options, economic incentives, and whether a trade can expand total value.","Identify each party's BATNA, quantify tradeoffs, and exchange concessions rather than giving them away.","Bundle a moderate concession with a reciprocal commitment, such as longer duration, faster payment, or future review.",One party may accept a short-term win that damages long-term value or weakens future leverage.,"Inspired by interest-based bargaining, BATNA analysis, negotiation strategy, and economic game theory."
NEG-003,healthcare,"Patient: My doctor said this procedure was medically necessary, but the claim was denied.
Insurance Rep: The plan requires prior authorization, which was not completed.
Clinic: We submitted clinical notes but may have missed one form.
Patient: I cannot afford the full bill and should not be penalized for a paperwork issue.
Insurance Rep: If the clinic resubmits with documentation, we can reopen the review.
Context note: This is scenario variation 3, with different urgency, leverage, and relationship stakes.",Patient; insurance representative; clinic billing office,coverage dispute,Ethical Framework,conditional_support,"Moral leverage comes from fairness, harm prevention, good faith, and proportional burden-sharing.",Ethical concessions should reduce harm without exploiting vulnerability.,"Empathetic, fairness-focused, and attentive to trust.",justice; fairness; utilitarian reasoning; deontology; virtue ethics; care ethics,"Whether the proposed outcome is fair, humane, transparent, and respectful of both parties' dignity.","In this healthcare negotiation, the ethical lens asks whether the parties are balancing outcomes, duties, care, fairness, and harm reduction.",Name the fairness concern directly and propose a solution that distributes burdens proportionally.,Adopt a solution that protects the vulnerable party while preserving legitimate interests of the other side.,A purely tactical agreement may be perceived as unfair and damage trust or legitimacy.,"Inspired by justice theory, utilitarianism, deontological ethics, virtue ethics, and care ethics."
NEG-003,healthcare,"Patient: My doctor said this procedure was medically necessary, but the claim was denied.
Insurance Rep: The plan requires prior authorization, which was not completed.
Clinic: We submitted clinical notes but may have missed one form.
Patient: I cannot afford the full bill and should not be penalized for a paperwork issue.
Insurance Rep: If the clinic resubmits with documentation, we can reopen the review.
Context note: This is scenario variation 3, with different urgency, leverage, and relationship stakes.",Patient; insurance representative; clinic billing office,coverage dispute,Behavioral & Psychological Framework,needs_more_info,"Anchors, emotional escalation, perceived disrespect, trust, and reciprocity influence bargaining behavior.",Small reciprocal concessions may reduce defensiveness and restore momentum.,Tense but repairable; emotional framing may determine whether the parties collaborate or escalate.,cognitive biases; framing; anchoring; trust; reciprocity; emotional intelligence,"Whether parties are reacting to perceived threats, unfair anchors, loss aversion, or damaged trust.","In this healthcare negotiation, the behavioral lens focuses on how framing, emotion, trust, and bias shape what each party sees as reasonable.","Reframe the disagreement around shared interests, acknowledge emotion, and make a calibrated reciprocal offer.",Use a low-pressure proposal that lets both sides save face while testing willingness to cooperate.,"Escalation, defensiveness, or anchoring could prevent agreement even when a practical compromise exists.","Inspired by behavioral economics, negotiation psychology, framing effects, anchoring, and trust repair."
NEG-003,healthcare,"Patient: My doctor said this procedure was medically necessary, but the claim was denied.
Insurance Rep: The plan requires prior authorization, which was not completed.
Clinic: We submitted clinical notes but may have missed one form.
Patient: I cannot afford the full bill and should not be penalized for a paperwork issue.
Insurance Rep: If the clinic resubmits with documentation, we can reopen the review.
Context note: This is scenario variation 3, with different urgency, leverage, and relationship stakes.",Patient; insurance representative; clinic billing office,coverage dispute,Stakeholder & Systems Framework,conditional_support,"Indirect stakeholders, institutional constraints, reputational effects, and downstream costs affect leverage.","A useful concession reduces pressure across the broader system, not just between the two main parties.",Complex and multi-sided; parties may feel constrained by people not present in the room.,stakeholder analysis; systems thinking; externalities; long-term consequences,"How the agreement affects absent stakeholders, future cases, precedent, resources, and institutional trust.","In this healthcare negotiation, the systems lens examines how the immediate dispute connects to broader incentives, externalities, and stakeholder consequences.","Map affected stakeholders, identify second-order consequences, and design a solution that avoids harmful precedent.","Pilot a limited agreement with review points, safeguards, and feedback from affected stakeholders.","Solving the immediate dispute may create hidden costs, precedent effects, or stakeholder backlash.","Inspired by stakeholder theory, systems thinking, externality analysis, and long-term governance design."
NEG-003,healthcare,"Patient: My doctor said this procedure was medically necessary, but the claim was denied.
Insurance Rep: The plan requires prior authorization, which was not completed.
Clinic: We submitted clinical notes but may have missed one form.
Patient: I cannot afford the full bill and should not be penalized for a paperwork issue.
Insurance Rep: If the clinic resubmits with documentation, we can reopen the review.
Context note: This is scenario variation 3, with different urgency, leverage, and relationship stakes.",Patient; insurance representative; clinic billing office,coverage dispute,Cultural & Social Framework,needs_more_info,"Status, social expectations, communication norms, hierarchy, and relationship obligations affect leverage.","A culturally aware concession protects dignity, face, relationship continuity, and communication preferences.","Sensitive to tone, respect, identity, and perceived recognition.",cultural norms; communication styles; collectivism; individualism; hierarchy; social expectations,"Whether the negotiation style respects norms around authority, directness, face-saving, and relationship obligations.","In this healthcare negotiation, the cultural lens considers whether conflict is shaped by social expectations, hierarchy, communication style, or differing assumptions about respect.","Adjust communication style, preserve face, clarify expectations, and invite context before finalizing terms.","Use respectful language, private discussion, and a compromise that preserves both relationship and practical needs.",A technically reasonable offer may fail if it violates social norms or is perceived as disrespectful.,"Inspired by cross-cultural negotiation, communication theory, social norms, and hierarchy-sensitive bargaining."
NEG-004,legal,"Product Lead: The proposed AI monitoring tool could help detect safety risks early.
Privacy Officer: It also collects sensitive behavioral data, which raises consent concerns.
Safety Lead: Delaying deployment means preventable incidents may continue.
Privacy Officer: We need minimization, audit logs, and clear opt-out procedures.
Product Lead: A limited pilot with anonymized data may balance safety and privacy.
Context note: This is scenario variation 4, with different urgency, leverage, and relationship stakes.",AI product team; privacy officer; public safety lead,privacy versus safety,Legal & Rights Framework,conditional_support,"Contract terms, documented obligations, regulatory duties, or procedural protections may affect bargaining power.","A legally safer concession would clarify terms, timelines, responsibilities, and written approval.",Concerned but formal; the parties appear focused on legitimacy and enforceability.,rights-based reasoning; due process; contracts; procedural fairness; liability,"Whether one party is being denied a promised benefit, exposed to liability, or pressured without fair process.","In this legal negotiation, the legal lens asks whether each party's claims are grounded in enforceable rights, documented commitments, notice requirements, or procedural fairness.","Request written terms, clarify obligations, document concessions, and propose a compliant resolution.",Create a written agreement that preserves rights while allowing a limited concession or phased adjustment.,"Ambiguous terms could create future disputes, compliance exposure, or claims of unfair treatment.","Inspired by rights-based negotiation, procedural justice, contract theory, and liability analysis."
NEG-004,legal,"Product Lead: The proposed AI monitoring tool could help detect safety risks early.
Privacy Officer: It also collects sensitive behavioral data, which raises consent concerns.
Safety Lead: Delaying deployment means preventable incidents may continue.
Privacy Officer: We need minimization, audit logs, and clear opt-out procedures.
Product Lead: A limited pilot with anonymized data may balance safety and privacy.
Context note: This is scenario variation 4, with different urgency, leverage, and relationship stakes.",AI product team; privacy officer; public safety lead,privacy versus safety,Strategic & Economic Framework,support,"BATNA, budget pressure, alternative offers, switching costs, and timing constraints shape leverage.","A concession is most valuable when traded for duration, volume, loyalty, speed, or reduced uncertainty.",Pragmatic and outcome-oriented; emotions are secondary to incentives.,BATNA; leverage; incentives; game theory; long-term value creation,Whether the deal improves each party's alternatives and creates enough value to justify compromise.,"In this legal negotiation, the strategic lens evaluates bargaining power, fallback options, economic incentives, and whether a trade can expand total value.","Identify each party's BATNA, quantify tradeoffs, and exchange concessions rather than giving them away.","Bundle a moderate concession with a reciprocal commitment, such as longer duration, faster payment, or future review.",One party may accept a short-term win that damages long-term value or weakens future leverage.,"Inspired by interest-based bargaining, BATNA analysis, negotiation strategy, and economic game theory."
NEG-004,legal,"Product Lead: The proposed AI monitoring tool could help detect safety risks early.
Privacy Officer: It also collects sensitive behavioral data, which raises consent concerns.
Safety Lead: Delaying deployment means preventable incidents may continue.
Privacy Officer: We need minimization, audit logs, and clear opt-out procedures.
Product Lead: A limited pilot with anonymized data may balance safety and privacy.
Context note: This is scenario variation 4, with different urgency, leverage, and relationship stakes.",AI product team; privacy officer; public safety lead,privacy versus safety,Ethical Framework,conditional_support,"Moral leverage comes from fairness, harm prevention, good faith, and proportional burden-sharing.",Ethical concessions should reduce harm without exploiting vulnerability.,"Empathetic, fairness-focused, and attentive to trust.",justice; fairness; utilitarian reasoning; deontology; virtue ethics; care ethics,"Whether the proposed outcome is fair, humane, transparent, and respectful of both parties' dignity.","In this legal negotiation, the ethical lens asks whether the parties are balancing outcomes, duties, care, fairness, and harm reduction.",Name the fairness concern directly and propose a solution that distributes burdens proportionally.,Adopt a solution that protects the vulnerable party while preserving legitimate interests of the other side.,A purely tactical agreement may be perceived as unfair and damage trust or legitimacy.,"Inspired by justice theory, utilitarianism, deontological ethics, virtue ethics, and care ethics."
NEG-004,legal,"Product Lead: The proposed AI monitoring tool could help detect safety risks early.
Privacy Officer: It also collects sensitive behavioral data, which raises consent concerns.
Safety Lead: Delaying deployment means preventable incidents may continue.
Privacy Officer: We need minimization, audit logs, and clear opt-out procedures.
Product Lead: A limited pilot with anonymized data may balance safety and privacy.
Context note: This is scenario variation 4, with different urgency, leverage, and relationship stakes.",AI product team; privacy officer; public safety lead,privacy versus safety,Behavioral & Psychological Framework,needs_more_info,"Anchors, emotional escalation, perceived disrespect, trust, and reciprocity influence bargaining behavior.",Small reciprocal concessions may reduce defensiveness and restore momentum.,Tense but repairable; emotional framing may determine whether the parties collaborate or escalate.,cognitive biases; framing; anchoring; trust; reciprocity; emotional intelligence,"Whether parties are reacting to perceived threats, unfair anchors, loss aversion, or damaged trust.","In this legal negotiation, the behavioral lens focuses on how framing, emotion, trust, and bias shape what each party sees as reasonable.","Reframe the disagreement around shared interests, acknowledge emotion, and make a calibrated reciprocal offer.",Use a low-pressure proposal that lets both sides save face while testing willingness to cooperate.,"Escalation, defensiveness, or anchoring could prevent agreement even when a practical compromise exists.","Inspired by behavioral economics, negotiation psychology, framing effects, anchoring, and trust repair."
NEG-004,legal,"Product Lead: The proposed AI monitoring tool could help detect safety risks early.
Privacy Officer: It also collects sensitive behavioral data, which raises consent concerns.
Safety Lead: Delaying deployment means preventable incidents may continue.
Privacy Officer: We need minimization, audit logs, and clear opt-out procedures.
Product Lead: A limited pilot with anonymized data may balance safety and privacy.
Context note: This is scenario variation 4, with different urgency, leverage, and relationship stakes.",AI product team; privacy officer; public safety lead,privacy versus safety,Stakeholder & Systems Framework,conditional_support,"Indirect stakeholders, institutional constraints, reputational effects, and downstream costs affect leverage.","A useful concession reduces pressure across the broader system, not just between the two main parties.",Complex and multi-sided; parties may feel constrained by people not present in the room.,stakeholder analysis; systems thinking; externalities; long-term consequences,"How the agreement affects absent stakeholders, future cases, precedent, resources, and institutional trust.","In this legal negotiation, the systems lens examines how the immediate dispute connects to broader incentives, externalities, and stakeholder consequences.","Map affected stakeholders, identify second-order consequences, and design a solution that avoids harmful precedent.","Pilot a limited agreement with review points, safeguards, and feedback from affected stakeholders.","Solving the immediate dispute may create hidden costs, precedent effects, or stakeholder backlash.","Inspired by stakeholder theory, systems thinking, externality analysis, and long-term governance design."
NEG-004,legal,"Product Lead: The proposed AI monitoring tool could help detect safety risks early.
Privacy Officer: It also collects sensitive behavioral data, which raises consent concerns.
Safety Lead: Delaying deployment means preventable incidents may continue.
Privacy Officer: We need minimization, audit logs, and clear opt-out procedures.
Product Lead: A limited pilot with anonymized data may balance safety and privacy.
Context note: This is scenario variation 4, with different urgency, leverage, and relationship stakes.",AI product team; privacy officer; public safety lead,privacy versus safety,Cultural & Social Framework,needs_more_info,"Status, social expectations, communication norms, hierarchy, and relationship obligations affect leverage.","A culturally aware concession protects dignity, face, relationship continuity, and communication preferences.","Sensitive to tone, respect, identity, and perceived recognition.",cultural norms; communication styles; collectivism; individualism; hierarchy; social expectations,"Whether the negotiation style respects norms around authority, directness, face-saving, and relationship obligations.","In this legal negotiation, the cultural lens considers whether conflict is shaped by social expectations, hierarchy, communication style, or differing assumptions about respect.","Adjust communication style, preserve face, clarify expectations, and invite context before finalizing terms.","Use respectful language, private discussion, and a compromise that preserves both relationship and practical needs.",A technically reasonable offer may fail if it violates social norms or is perceived as disrespectful.,"Inspired by cross-cultural negotiation, communication theory, social norms, and hierarchy-sensitive bargaining."
